country,director,genre,title,year
" ,Франция",,комедия,14 июля,1933
" ,США",,фильм ужасов,13 призраков,1960
" ,Россия",,документальный,13 друзей хунты,2014
" ,США",,"триллер,, ,фильм ужасов",13 грехов,2014
" ,Франция",,"документальный фильм,спортивный фильм",13 дней во Франции,1968
" ,Румыния",,комедия,12:08 к востоку от Бухареста,2006
" ,США",,"боевик,триллер",12 раундов: Перезагрузка,
" ,Япония",,боевик,13 убийц,2010
" ,СССР",,комедия,12 стульев,
" ,СССР",,телеспектакль,12 стульев,1966
" ,СССР",,"комедия,мюзикл,мелодрама",12 стульев,
" ,США",,"процессуальная драма,[d]",12 разгневанных мужчин,
" ,США",,"юридическая ,драма",12 разгневанных мужчин,1957
" ,Россия",,комедия,12 месяцев,2013
" ,США",,"боевик,триллер,криминал",12 раундов,2009
" ,Россия",,"фильм-сказка,,,комедия,,,мелодрама,,,семейный фильм",12 месяцев. Новая сказка,
" ,США",,"фантастика,триллер,драма,антиутопия",12 обезьян,1995
" ,США",,"историческая, ,драма",12 лет рабства,2013
" ,ЮАР",,"ужасы,, ,триллер,, ,драма",12 дней террора,2004
" ,Россия",,"психологический, ,триллер,,,юридический, ,детектив,,,драма,,,артхаус",«12»,2007
" ,США",,комедийная драма,10 шагов к успеху,2006
" ,Франция",,"драма,Саундтрек",11.6,2013
" ,США, ,Испания",,фильм ужасов о сверхъестественном,11-11-11,
" ,США, ,Иран, ,Франция, ,Израиль, ,Буркина-Фасо, ,Индия, ,Япония, ,Босния и Герцеговина, ,Египет, ,Мексика, ,Великобритания",,"драма,исторический,киноальманах",11 сентября,2002
" ,США, ,США",,Документальное кино,10 миль в час,2007
" ,США, ,Канада",,"Триллер,детективный фильм,криминал,чёрная комедия",11:14,2003
" ,США",,романтическая комедия,10 причин моей ненависти,1999
" ,СССР",,"комедия,, ,сказка",12 могил Ходжи Насреддина,1966
" ,Великобритания",,триллер,10 на 10,2018
" ,США",,"драма,романтическая комедия",10 лет спустя,2011
" ,США, ,ЮАР",,приключенческий боевик,«10 000 лет до нашей эры»,2008
" ,США",,боевик,9 смертей ниндзя,1985
" ,США",,"драма,, ,фильм-катастрофа",9/11,2017
" ,Великобритания",,"драма,мелодрама,музыкальный фильм,эротика",9 песен,2004
" ,Россия",,Телеальманах,9 мая. Личное отношение,
" ,Великобритания",,"драма,комедия",9 мёртвых геев,2002
" ,Япония",,фильм-драма,9 душ,2003
 Дания,,"Военный, драма",9 апреля,2015
" ,США",,комедия,8-битное Рождество,2021
" ,США",,"кинокомедия,криминальный фильм",8 подруг Оушена,2018
" ,Испания",,Романтическая кинокомедия,8 свиданий,2008
,,"комедия, / ,мелодрама",8 лучших свиданий,2016
" ,Россия, ,Украина",,комедия,8 первых свиданий,2012
" ,США, ,Германия",,"триллер,криминал",8 миллиметров,1999
" ,Франция, ,Италия",,"мюзикл,комедия, ,детектив",8 женщин,2002
" ,Испания,[1]",,"короткометражный, ,музыкальный",7:35 утра,
" ,Великобритания, ,США",,шпионский фильм,007: Спектр,2015
" ,Россия",,"боевик, / ,драма",Ноль-седьмой меняет курс,2007
" ,Россия",,комедийный фильм,8 ½ $,1999
" ,Франция",,комедия,9 месяцев строгого режима,2013
" ,Парагвай",,"триллер,криминал",7 ящиков,2012
" ,Великобритания, ,США",,шпионский фильм,007: Координаты «Скайфолл»,
" ,США",,драма,7 женщин,1966
" ,Великобритания",,"драма,биография",7 дней и ночей с Мэрилин,2011
" ,США, ,Германия, ,Чехия",,"драма,фильм ужасов,триллер",7 дней до смерти,2000
" ,США, ,Румыния, ,Швейцария, ,Великобритания",,боевик,7 секунд,
" ,США",,киберпанк,6-й день,2000
" ,США",,"постапокалиптика,научная фантастика",5-я волна,2016
" ,Украина",,"драма,, ,триллер,, ,биография",5 терапия,2017
" ,США",,"биографическая, ,спортивная, ,драма",3: История Дейла Эрнхардта,
" ,США",,драма,3 ночи в пустыне,2014
" ,Великобритания, ,Новая Зеландия",,"боевик,триллер",6 дней,2017
" ,Франция",,"мелодрама,драма",5×2,2004
" ,США",,"байопик,драма,боевик",2pac: Легенда,2017
" ,Россия",,"комедия,мелодрама",7 главных желаний,
" ,Россия, ,Украина",,"военно,-,исторический,боевик,, ,драма",9 рота,2005
" ,Индия",,"комедия, / ,драма",3 идиота,2009
" ,Франция, ,Великобритания",,"драма,семейный,Музыка к фильму",2+1,2016
" ,Австралия",,"драматический фильм,[1],[2]",2:37,
" ,США, ,Австралия",,триллер,2:22,2017
" ,Бразилия",,"порнофильм,ЛГБТ-фильм,[d]",2 Girls 1 Cup,
" ,Россия",,драма,2-Асса-2,2008
" ,США",,комедийная драма,1+1: Голливудская история,
" ,Франция, ,Германия",,"комедия,драма,мелодрама",2 дня в Париже,2007
" ,Франция",,"комедийная драма,бадди-муви",1+1,
" ,СССР",,комедия,01-99,1959
" ,США",,порнофильм,1 Night in China,
" ,США",,"драма,мелодрама",1 миля до тебя,2017
" ,Австралия",,криминальный,1%,2017
" ,Франция",,комедия,2 дурня в снегу,1977
" ,СССР",,"драма,, ,приключения",«SOS» над тайгой,
" ,США",,"комедия,фантастика,мелодрамма",(Не)идеальные роботы,2023
" ,США",,документальный,1,2013
" ,Индия",,"документальный,драма,комедия",0-41*,2016
" ,Чехословакия",,"драма, военный",…и передайте привет ласточкам,1972
" ,СССР",,игровое кино,Чудотворец из Бирюлёва,1958
" ,Чехословакия",,"драма, военный, арт-хаус",...а пятый всадник – Страх,1965
" ,Канада",,комедия,2 секунды,1998
country,director,genre,title,year
"Финляндия,Норвегия,Швеция,Дания",,"драма, комедия",4 x 4,1965
",Великобритания",,"триллер,электро-хаус,,,соул,,,R’n’B,,,хип-хоп,,,грайм",4.3.2.1,2010
",Румыния",,"психологическая,драма","4 месяца, 3 недели и 2 дня",2007
",США",,"драма,фантастика",4:44. Последний день на Земле,2011
",США",,Исторический документальный,4 маленькие девочки,1997
",СССР",,комедия,4:0 в пользу Танечки,1982
",Россия,,Нидерланды",,драма,Четыре,2004
",США",,драма,3 ночи в пустыне,2014
",Украина",,детектив,4 листа фанеры,1992
